"GRUPA_ID","SEKCIJA_ID","PODSEKCIJA_ID","PASMINA_ID","FCI_BROJ","NAZIV","ENGLESKI_NAZIV","PODSEKCIJA","SEKCIJA","GRUPA","ZEMLJA_PODRIJETLA","ILUSTRACIJA"
"2","4","5","64","157","BULLMASTIFF","BULLMASTIFF","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GREAT BRITAIN",""
"2","4","5","65","264","MASTIFF","MASTIFF","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GREAT BRITAIN",""
"2","4","5","66","343","CANE CORSO ITALIANO","ITALIAN CANE CORSO","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","ITALY","http://www.fci.be/Nomenclature/Illustrations/343g02.jpg"
"2","4","5","67","197","MASTINO NAPOLETANO","NEAPOLITAN MASTIFF","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","ITALY",""
"2","4","5","68","260","TOSA","TOSA","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","JAPAN","http://www.fci.be/Nomenclature/Illustrations/260g02.jpg"
"2","4","5","69","340","CÃO FILA DE SÃO MIGUEL","SAINT MIGUEL CATTLE DOG","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," PORTUGAL",""
"2","4","5","70","249","PERRO DOGO MALLORQUÍN","MAJORCA MASTIFF","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," SPAIN",""
"2","4","5","71","346","PRESA CANARIO","PRESA CANARIO","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," SPAIN",""
"2","4","5","72","353","CIMARRÓN URUGUAYO","CIMARRÓN URUGUAYO","Mastiff type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," URUGUAY",""
"2","4","6","73","355","TORNJAK","BOSNIAN AND HERZEGOVINIAN - CROATIAN SHEPHERD DOG","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","BOSNIA AND HERZEGOVINA, CROATIA",""
"2","4","6","74","50","NEWFOUNDLAND","NEWFOUNDLAND","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","CANADA",""
"2","4","6","75","137","CHIEN DE MONTAGNE DES PYRENEES","PYRENEAN MOUNTAIN DOG","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","FRANCE","http://www.fci.be/Nomenclature/Illustrations/137g02.jpg"
"2","4","6","76","190","HOVAWART","HOVAWART","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY",""
"2","4","6","77","145","LEONBERGER","LEONBERGER","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY",""
"2","4","6","78","226","LANDSEER (EUROPÄISCH-KONTINENTALER TYP)","LANDSEER (EUROPEAN CONTINENTAL TYPE)","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","GERMANY, SWITZERLAND",""
"2","4","6","79","247","AÏDI (CHIEN DE MONTAGNE DE L'ATLAS)","ATLAS MOUNTAIN DOG (AIDI)","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","MOROCCO",""
"2","4","6","80","41","JUGOSLOVENSKI OVCARSKI PAS-SARPLANINAC","YUGOSLAVIAN SHEPHERD DOG - SHARPLANINA","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","NORTH MACEDONIA, SERBIA",""
"2","4","6","81","170","CÃO DE CASTRO LABOREIRO","CASTRO LABOREIRO DOG","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","PORTUGAL","http://www.fci.be/Nomenclature/Illustrations/170g02.jpg"
"2","4","6","82","173","CÃO DA SERRA DA ESTRELA","ESTRELA MOUNTAIN DOG","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","PORTUGAL","http://www.fci.be/Nomenclature/Illustrations/173g02.jpg"
"2","4","6","83","96","RAFEIRO DO ALENTEJO","RAFEIRO OF ALENTEJO","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","PORTUGAL","http://www.fci.be/Nomenclature/Illustrations/096g02.jpg"
"2","4","6","84","357","CIOBANESC ROMÂNESC DE BUCOVINA","ROMANIAN BUCOVINA SHEPHERD","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","ROMANIA","http://www.fci.be/Nomenclature/Illustrations/357g02.jpg"
"2","4","6","85","328","KAVKAZSKAÏA OVTCHARKA","CAUCASIAN SHEPHERD DOG","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," RUSSIA","http://www.fci.be/Nomenclature/Illustrations/328g02.jpg"
"2","4","6","86","335","SREDNEASIATSKAYA OVTCHARKA","CENTRAL ASIA SHEPHERD DOG","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," RUSSIA","http://www.fci.be/Nomenclature/Illustrations/335g02-1.jpg"
"2","4","6","87","278","KRASKI OVCAR","KARST SHEPHERD DOG","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," SLOVENIA","http://www.fci.be/Nomenclature/Illustrations/278g02.jpg"
"2","4","6","88","92","MASTÍN DEL PIRINEO","PYRENEAN MASTIFF","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," SPAIN",""
"2","4","6","89","91","MASTÍN ESPAÑOL","SPANISH MASTIFF","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," SPAIN",""
"2","4","6","90","61","ST.BERNHARDSHUND - BERNHARDINER","ST. BERNARD","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," SWITZERLAND","http://www.fci.be/Nomenclature/Illustrations/061g02-1.jpg"
"2","4","6","91","230","DO-KHYI","TIBETAN MASTIFF","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," Tibet (China)",""
"2","4","6","92","331","KANGAL ÇOBAN KÖPEGI","KANGAL SHEPHERD DOG","Mountain type","Molossian type","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs"," TURKEY","http://www.fci.be/Nomenclature/Illustrations/331g02.jpg"
"2","5","","93","46","APPENZELLER SENNENHUND","APPENZELL CATTLE DOG","","Swiss Mountain- and Cattledogs","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","SWITZERLAND",""
"2","5","","94","45","BERNER SENNENHUND","BERNESE MOUNTAIN DOG","","Swiss Mountain- and Cattledogs","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","SWITZERLAND","http://www.fci.be/Nomenclature/Illustrations/045g02.jpg"
"2","5","","95","47","ENTLEBUCHER SENNENHUND","ENTLEBUCH CATTLE DOG","","Swiss Mountain- and Cattledogs","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","SWITZERLAND","http://www.fci.be/Nomenclature/Illustrations/047g02.jpg"
"2","5","","96","58","GROSSER SCHWEIZER SENNENHUND","GREAT SWISS MOUNTAIN DOG","","Swiss Mountain- and Cattledogs","Pinscher and Schnauzer - Molossoid and Swiss Mountain and Cattledogs","SWITZERLAND","http://www.fci.be/Nomenclature/Illustrations/058g02.jpg"
"3","6","","97","341","TERRIER BRASILEIRO","BRAZILIAN TERRIER","","Large and medium sized Terriers","Terriers","BRAZIL","http://www.fci.be/Nomenclature/Illustrations/341g03.jpg"
"3","6","","98","103","DEUTSCHER JAGDTERRIER","GERMAN HUNTING TERRIER","","Large and medium sized Terriers","Terriers","GERMANY","http://www.fci.be/Nomenclature/Illustrations/103g03-1.jpg"
"3","6","","99","7","AIREDALE TERRIER","AIREDALE TERRIER","","Large and medium sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/007g03.jpg"
"3","6","","100","9","BEDLINGTON TERRIER","BEDLINGTON TERRIER","","Large and medium sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/009g03.jpg"
"3","6","","101","10","BORDER TERRIER","BORDER TERRIER","","Large and medium sized Terriers","Terriers","GREAT BRITAIN",""
"3","6","","102","12","FOX TERRIER (SMOOTH)","FOX TERRIER (SMOOTH)","","Large and medium sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/012g03.jpg"
"3","6","","103","169","FOX TERRIER (WIRE)","FOX TERRIER (WIRE)","","Large and medium sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/169g03.jpg"
"3","6","","104","70","LAKELAND TERRIER","LAKELAND TERRIER","","Large and medium sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/070g03.jpg"
"3","6","","105","71","MANCHESTER TERRIER","MANCHESTER TERRIER","","Large and medium sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/071g03.jpg"
"3","6","","106","339","PARSON RUSSELL TERRIER","PARSON RUSSELL TERRIER","","Large and medium sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/339g03.jpg"
"3","6","","107","78","WELSH TERRIER","WELSH TERRIER","","Large and medium sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/078g03.jpg"
"3","6","","108","302","IRISH GLEN OF IMAAL TERRIER","IRISH GLEN OF IMAAL TERRIER","","Large and medium sized Terriers","Terriers","IRELAND",""
"3","6","","109","40","IRISH SOFT COATED WHEATEN TERRIER","IRISH SOFT COATED WHEATEN TERRIER","","Large and medium sized Terriers","Terriers","IRELAND",""
"3","6","","110","139","IRISH TERRIER","IRISH TERRIER","","Large and medium sized Terriers","Terriers","IRELAND",""
"3","6","","111","3","KERRY BLUE TERRIER","KERRY BLUE TERRIER","","Large and medium sized Terriers","Terriers","IRELAND",""
"3","7","","112","8","AUSTRALIAN TERRIER","AUSTRALIAN TERRIER","","Small sized Terriers","Terriers","AUSTRALIA","http://www.fci.be/Nomenclature/Illustrations/008g03.jpg"
